"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Shopping-website\frontend\src\component\__tests__\WishList.test.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\Shopping-website\frontend\src\context\__tests__\shoppingCartContext.test.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 15, 76
"c:\Shopping-website\frontend\src\context\shoppingCartContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 0, 13, 100
"c:\Shopping-website\frontend\src\data\chat.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Shopping-website\frontend\src\data\items.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Shopping-website\frontend\src\features\Registration\component\Form1.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 13, 51
"c:\Shopping-website\frontend\src\features\Registration\component\Form2.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 9, 55
"c:\Shopping-website\frontend\src\features\Registration\context\useRegister.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 12, 116
"c:\Shopping-website\frontend\src\features\add-product\component\AddNewProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 10, 50
"c:\Shopping-website\frontend\src\features\add-product\hook\useAddProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 8, 40
"c:\Shopping-website\frontend\src\features\authentication\component\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"c:\Shopping-website\frontend\src\features\authentication\hook\useLogin.test.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 15, 22, 111
"c:\Shopping-website\frontend\src\features\authentication\hook\useLogin.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 8, 39
"c:\Shopping-website\frontend\src\features\authorization\component\IsSeller.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Shopping-website\frontend\src\features\authorization\component\Protected.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
"c:\Shopping-website\frontend\src\features\chat\component\Chatbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Shopping-website\frontend\src\features\chat\hook\useChat.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Shopping-website\frontend\src\features\chat\hook\useChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Shopping-website\frontend\src\features\edit-product\component\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 10, 54
"c:\Shopping-website\frontend\src\features\edit-product\component\SellerStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 10, 49
"c:\Shopping-website\frontend\src\features\edit-product\hook\useDeleteProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Shopping-website\frontend\src\features\edit-product\hook\useEditProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"c:\Shopping-website\frontend\src\features\pagination\component\Pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Shopping-website\frontend\src\features\pagination\hook\usePagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Shopping-website\frontend\src\features\showProfile\component\ShowProfile.test.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Shopping-website\frontend\src\features\showProfile\component\ShowProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 52
"c:\Shopping-website\frontend\src\features\showProfile\hook\useProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Shopping-website\frontend\src\features\showProfile\hook\useShowProfile.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Shopping-website\frontend\src\hook\__tests__\useLocalStorage.test.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 12, 44
"c:\Shopping-website\frontend\src\hook\__tests__\useToggle.test.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Shopping-website\frontend\src\hook\useClickOutside.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Shopping-website\frontend\src\hook\useFetch.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\Shopping-website\frontend\src\hook\useLocalStorage.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Shopping-website\frontend\src\hook\useToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Shopping-website\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Shopping-website\frontend\src\lib\axios.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Shopping-website\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Shopping-website\frontend\src\pages\Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"c:\Shopping-website\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Shopping-website\frontend\src\pages\MyStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 10, 52
"c:\Shopping-website\frontend\src\pages\Product.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Shopping-website\frontend\src\pages\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Shopping-website\frontend\src\pages\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"c:\Shopping-website\frontend\src\pages\Seller.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Shopping-website\frontend\src\pages\ShoppingCart.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"c:\Shopping-website\frontend\src\pages\__tests__\Login.test.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 3, 18, 71
"c:\Shopping-website\frontend\src\pages\__tests__\Product.test.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Shopping-website\frontend\src\pages\__tests__\Profile.test.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Shopping-website\frontend\src\pages\__tests__\Seller.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Shopping-website\frontend\src\pages\__tests__\ShoppingCart.test.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Shopping-website\frontend\src\setupTest.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Shopping-website\frontend\src\utilites\formatCurrency.test.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Shopping-website\frontend\src\utilites\formatCurrency.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Shopping-website\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Shopping-website\frontend\tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 2, 6, 30
"c:\Shopping-website\frontend\tsconfig.node.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Shopping-website\frontend\vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 11681, 33, 333, 937, 1244, 5, 7, 13, 187, 510, 14950
